DATUMS;VALUTA;SUMMA;PARTNERA NOSAUKUMS;PARTNERA BANKA;PARTNERA BANKAS SWIFT KODS;TRANSAKCIJAS TIPS
15.01.2024;EUR;24,8;Orange Stuff\Juras iela 73\Engure\LV-3113   099LVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
15.01.2024;EUR;28;Hairriga sun-Bikeru\Bikeru iela 4, Stopinu pag,\Ropazu nov,\LV-2130   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
15.01.2024;EUR;70,44;SEB LIFE AND PENSION BALTIC SE;SEB BANKA;UNLALV2X;PMNTICDTBOOK-P?rskait?jums bankas ietvaros uz cita klienta kontu
16.01.2024;EUR;4,38;Kool-Dzelzavas 116\Dzelzavas iela 116\Riga\LV-1082   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
16.01.2024;EUR;5,38;CIRCLE K APVEDCELS    \LAIMES, ULUPJI            \ROPAZU NOVADS\LV 2118   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
16.01.2024;EUR;7,6;BISTRO OLAFS LUCAVSALA\LUCAVSALAS IELA 3         \RIGA         \1004      LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
16.01.2024;EUR;27,51;Ksenukai Lucavsala\Lucavsalas iela 2\Riga\1004      LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
16.01.2024;EUR;96;Viedari\Biekensalas iela 21\Riga\LV-1004   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
16.01.2024;EUR;175;VEIKALS-ACL RIGA PLAZA\BIEKENSALAS IELA 7        \RIGA         \1004      LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
17.01.2024;EUR;1,2;KAFIJAS PASAULE\APUZES IELA 34\RIGA\LV-10-46  LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
17.01.2024;EUR;4,2;Stesavi-Azenes 12\Azenes iela 12\Riga\LV-1082   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
18.01.2024;EUR;0,13;SEB banka;;;XTNDNTAVNTAV-Apkalpošanas maksas pazi?ojums
18.01.2024;EUR;3,5;Stesavi-Azenes 12\Azenes iela 12\Riga\LV-1082   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
18.01.2024;EUR;5,16;NARVESEN 1023         \AZENES IELA 5             \RIGA         \LV-1048   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
